"NAME"	"LogPhase_RSeq_S3"	"MS10_hrs_Rseq_S5"	"MS14_hrs_Rseq_S6"	"MS20_hrs_Rseq_S7"	"MS30_hrs_Rseq_S8"	"MS44_hrs_Rseq_S9"	"MS55_hrs_Rseq_S10"
"chrIV-0085-C"	2	2	2	2	2	2	2
"chrIV-0086-C"	2	2	2	2	2	2	2
"chrIV-0087-C"	2	2	2	2	2	2	2
"chrIV-0088-W"	2	2	2	2	2	2	2
"chrIV-0089-W"	2	2	2	2	2	2	2
"chrIV-0090-C"	12.5967	15.4134	50.1645	26.4603	35.9025	64.5254	32.7324
"chrIV-0091-W"	2	2	2	2	2	2	2
"chrIV-0092-W"	2	2	2	2	2	2	2
"chrIV-0093-C"	7.96104	18.3695	23.3421	24.5038	24.8242	28.7318	37.7431
"chrIV-0094-C"	2	2	2	2	2	2	2
"chrIV-0095-C"	2	2	2	2	2	2	2
"chrIV-0096-W"	2	2	2	2	2	2	2
"chrIV-0097-C"	2	2	2	2	2	2	2
"chrIV-0098-C"	2	2	2	2	2	2	2
"chrIV-0099-W"	2	2.778	2.95085	4.33275	7.93426	6.13834	10.006
"chrIV-0100-W"	2	2	2	2	5.34942	2	2
"chrIV-0101-W"	2	2	2	2	2	2	2
"chrIV-0102-W"	2	2	2	2	2	2.79548	2
"chrIX-0216-W"	2	2	2	2	2	2	2
"chrIX-0217-W"	2	2	2	2	2	3.15369	10.7307
"chrIX-0218-W"	2	2	2	2	2	2	2
"chrIX-0219-W"	2	2	2	2	2	2	2
"chrIX-0220-W"	6.41567	11.561	8.20928	7.05979	8.70935	9.01313	12.627
"chrIX-0221-C"	2	2	2	2	2	2	2.87283
"chrIX-0222-C"	2	2	2	2	2	2	2
"chrIX-0223-C"	2	2	2	2	2	2	2
"chrIX-0224-C"	2	2	2	2	2	2	2
"chrIX-0225-C"	2	2	2	2	2	2	2
"chrIX-0226-W"	10.6643	12.3275	15.4064	7.85207	11.2102	15.6866	14.7232
"chrIX-0227-W"	2.25501	2.1789	3.17957	2.21998	2.58612	2.82171	2.40585
"chrIX-0228-C"	2	2	2	2	2	2	2
"chrIX-0229-W"	2	2	2	2	2	2	2
"chrIX-0230-C"	11.8194	20.1014	16.8774	15.3442	18.9436	18.6547	15.1967
"chrIX-0231-W"	2	2	2	2	2	2	2
"chrIX-0232-C"	2	2	2	2.6669	2	2	3.74631
"chrIX-0233-W"	2	2	2	2	2	2	2
"chrIX-0234-W"	29.132	36.628	23.2419	14.5355	6.85298	21.5087	7.6333
"chrIX-0235-C"	2	2	2	2	2	2	2
"chrIX-0236-W"	2	2	2	2	2	2	2
"chrIX-0237-C"	2	2	2	2	2	2	2
"chrmt-0473-W"	2	2	2	2	2	2	2
"chrmt-0474-W"	2	2	3.76356	2	2.04436	5.31079	3.85824
"chrmt-0475-W"	2	2	2	2	2	2	2
"chrmt-0476-C"	2	2	2	2	2	2	2
"chrmt-0477-W"	2	2	2	2	2	2	2
"chrmt-0478-W"	7.83723	17.2271	14.1282	20.0064	22.0577	22.5174	22.8948
"chrmt-0479-W"	32.1286	36.4313	51.5027	55.6149	56.2626	50.0787	59.3896
"chrmt-0480-C"	2	2	2	2	2	2	2
"chrmt-0481-W"	2	2	2	2	2	2	2
"chrmt-0482-C"	2	2	2	2	2	2	2
"chrmt-0483-C"	2	2	2	2	2	2	2
"chrmt-0484-C"	2	2	2	2	2	2	2
"chrmt-0485-C"	2	2	2	2	2	2	2
"chrmt-0486-C"	6.41614	8.36371	6.95067	6.71327	9.63942	10.2185	11.7108
"chrmt-0487-C"	2	2	2	2	2	2	2
"chrV-0103-W"	14.1867	10.4543	17.8818	15.5456	17.5804	11.2131	11.4516
"chrV-0104-W"	2	2	2	2	2	2	2
"chrV-0105-W"	38.9634	75.6203	64.6705	49.4257	50.0137	47.9575	32.9903
"chrV-0106-W"	2	2	2	2	2	2	2
"chrV-0107-W"	2.15378	2.22508	3.00317	3.17681	2.88881	3.24512	2.78832
"chrV-0108-C"	2	2	2	2	2	2	2
"chrV-0109-W"	5.03753	6.88739	6.31258	6.91348	6.80516	6.94073	8.82482
"chrV-0110-W"	10.9674	18.8205	21.6045	28.1896	22.8558	29.2539	34.0602
"chrV-0111-W"	5.06092	14.8582	5.03604	4.81255	6.93123	13.2015	5.02231
"chrV-0112-C"	2	2	2	2	2	2	2.47009
"chrV-0113-W"	9.1535	20.8619	11.9931	16.5089	16.6138	32.8468	35.7146
"chrV-0114-W"	2	2	2	2	2	2	2
"chrV-0115-C"	2	2	2	3.66756	2	2	2
"chrV-0116-W"	2	2	2	2	2	2	2
"chrV-0117-C"	6.044	17.4714	10.8419	10.9912	14.36	13.6685	15.7799
"chrV-0118-C"	2	2	2	2	3.04058	2.17409	2.41379
"chrV-0119-W"	2	2	2	2	2	2	2
"chrV-0120-W"	2	2	2	2	2	2.19685	2
"chrV-0121-C"	2	2	2	2	2	2	2
"chrV-0122-C"	2	2	2	2	2	2	2
"chrV-0123-C"	2	2	2	2	2	2	2
"chrV-0124-W"	2	2	2	2	2	2	2
"chrV-0125-W"	2	2	2	2	2	2	2
"chrVI-0126-W"	2	2	2	2	2	2	2.40987
"chrVI-0127-C"	15.2666	36.7446	29.7719	24.0333	28.5426	31.5975	27.6408
"chrVI-0128-C"	2	2	2	2	2	2	2
"chrVI-0129-C"	2	2	2	2	2	2	2
"chrVI-0130-W"	2	2	2	2	2	2	2
"chrVI-0131-C"	2	2	2	2	3.73521	2	2.08422
"chrVI-0132-W"	2	2	2	2	2	2	2
"chrVI-0133-W"	2	2	2	2	2	2	2
"chrVI-0134-W"	5.46932	13.3391	12.2955	9.8083	14.4806	17.7785	19.2058
"chrVI-0135-C"	2	2	2	2	2.46966	2.81115	4.44301
"chrVI-0136-W"	2	2	2	2	2	2	2
"chrVII-0137-W"	3.49725	2	4.14561	2.63305	2	3.80322	2
"chrVII-0138-W"	4.88647	2	2	2	2	3.12007	3.0824
"chrVII-0139-W"	2.06492	2.28499	2	2	2	2.98309	2
"chrVII-0140-W"	11.9034	12.4885	30.7111	7.49509	13.7592	26.9621	20.4802
"chrVII-0141-W"	2	2	2	2	5.09426	3.8092	2.0369
"chrVII-0142-W"	2	2	3.42982	2.11632	2	3.00088	2.57953
"chrVII-0143-W"	2	2	2	2	2	2	2
"chrVII-0144-W"	2	2	2	2	2	2	2
"chrVII-0145-W"	3.26169	17.629	15.5338	17.744	31.1121	31.0898	23.5901
"chrVII-0146-W"	2.67639	2	4.07343	3.98818	6.16841	4.21682	2.43582
"chrVII-0147-W"	47.4733	45.8286	63.9198	32.2737	41.3353	40.9668	32.3705
"chrVII-0148-W"	2	2	2	2	2	2.20082	3.7468
"chrVII-0149-W"	2	2	2	2	2	2	2
"chrVII-0150-W"	2	2	2	3.0023	8.70899	16.3367	17.4155
"chrVII-0151-W"	2	3.28485	2	2	2	2	2.90441
"chrVII-0152-C"	2	2	2	2	2	2	2
"chrVII-0153-C"	2	2	2	2	2	2	2
"chrVII-0154-W"	2.5212	3.37836	2.99044	4.01116	2.46784	3.51315	2.69232
"chrVII-0155-W"	2	13.0345	7.4392	9.47261	10.7917	15.0377	18.6765
"chrVII-0156-C"	2	2	2	2	2	2	2
"chrVII-0157-W"	2	2	2	2	2.15343	2	2
"chrVII-0158-C"	2	2	2	2	2	2	2
"chrVII-0159-W"	3.72874	3.81983	4.99448	3.63587	6.76306	7.84959	7.4936
"chrVII-0160-C"	4.29911	2.84872	2	2	2	2	2
"chrVII-0161-W"	23.7461	13.6498	26.092	16.4245	19.7893	15.3241	21.126
"chrVII-0162-W"	2	2	2	2	2	2	2
"chrVII-0163-W"	2	3.1657	2	2	6.38856	2	3.63599
"chrVII-0164-W"	2	2	2	2	2	2	2
"chrVII-0165-C"	2	2	2	2	2.74277	5.1848	4.68841
"chrVII-0166-C"	2	2.01031	5.95063	6.07125	8.17148	8.60797	9.55432
"chrVII-0167-C"	2	2	2	2	2	2	2
"chrVII-0168-W"	2	10.7663	2.1154	9.47245	9.35766	7.81893	9.01949
"chrVII-0169-C"	2	2	2	2	2	2	2
"chrVII-0170-W"	2	7.58267	2	2	2	2.30857	2
"chrVII-0171-C"	2	2	2	2	2	2	2
"chrVII-0172-W"	2.49	8.6244	3.18759	2.6281	8.76739	9.15242	9.49149
"chrVII-0173-W"	2	2	2	2	2	2	2
"chrVII-0174-W"	2	2	2	2	2	2	2
"chrVII-0175-W"	3.39908	2	2.23814	2	2	2	3.20268
"chrVII-0176-C"	2	2	2	2	2	2	2
"chrVII-0177-W"	2	2	2	2	2	2	2
"chrVII-0178-W"	2	2	2	2	2	2	2
"chrVII-0179-C"	2	2	2	2	2	2	2
"chrVII-0180-C"	2	2	2	2	2	2	2
"chrVII-0181-C"	5.94442	4.38775	6.10082	7.03132	7.25492	4.62676	9.05047
"chrVII-0182-C"	2	2	2	2	2	2	2
"chrVII-0183-W"	2	2	2	2	2	2	2
"chrVII-0184-C"	2	2	2	2	2	2	2
"chrVII-0185-C"	2	2	2	2	2	2	2
"chrVII-0186-W"	2	2	2	2	2	2	2
"chrVII-0187-C"	2	2	2	2	2	2	2
"chrVII-0188-W"	2	2	2	2	2	2	2
"chrVII-0189-C"	2	2	2	2	2	2	2
"chrVII-0190-C"	2	2	2	2	2	2	2
"chrVII-0191-W"	9.74213	7.19586	8.10432	10.6619	8.70873	8.02782	10.0704
"chrVII-0192-W"	2	11.4424	9.59802	9.97581	13.3878	10.9844	8.92073
"chrVII-0193-C"	2	2	2	2	2	2	2
"chrVII-0194-W"	2	2	2	2	2	2	2
"chrVII-0195-C"	2	2	2	2	2	2	2
"chrVII-0196-C"	2	2	2	2	2	2	2
"chrVIII-0197-W"	2	2	2	2	2	2	3.54693
"chrVIII-0198-W"	2	2	2	2	2	2	2
"chrVIII-0199-W"	2	2	2	2	2	2	2
"chrVIII-0200-C"	2	2	2	2	2	2	2
"chrVIII-0201-W"	71.2939	72.8112	146.126	117.109	111.402	93.7408	78.2962
"chrVIII-0202-W"	2	2	2	2	2.07543	2	2
"chrVIII-0203-C"	2	2	2	2	2	2	2
"chrVIII-0204-W"	6.07501	16.1863	5.85851	10.8107	14.6404	15.0847	14.2584
"chrVIII-0205-C"	2	2	2	2	2	2	2
"chrVIII-0206-W"	75.5132	94.1464	69.567	67.4427	71.7314	54.7154	45.519
"chrVIII-0207-C"	2	2	2	2	2	2	2.16404
"chrVIII-0208-W"	2	2	2	2	2	2	2
"chrVIII-0209-W"	2	2	2	2	2	2	3.14012
"chrVIII-0210-W"	8.95441	7.92951	8.5502	6.80339	11.0485	10.3549	11.4841
"chrVIII-0211-C"	2	2	2	2	2	2	2
"chrVIII-0212-W"	2	2	2	2	2	2	2
"chrVIII-0213-C"	2	2	2	2	2	2	2
"chrVIII-0214-W"	2	2	2	2	2	2	2
"chrVIII-0215-W"	2	2	2	2	2	2	2
"chrX-0238-W"	2	2	2	2	2	2	2
"chrX-0239-W"	2	2	2	2	2	2	2
"chrX-0240-W"	2	2	2	2	2	2	2
"chrX-0241-W"	2	2.20912	2	3.59348	4.21216	3.74067	4.36726
"chrX-0242-W"	2	2.08551	3.49782	5.87469	7.54489	10.4688	8.05702
"chrX-0243-W"	2	2.24332	4.20809	3.39156	2	2	2
"chrX-0244-W"	2	2	2	2	2	2	2
"chrX-0245-W"	2	2	2.73183	2.12467	3.15224	2	2.7852
"chrX-0246-W"	2	2	2	2	2	2	2
"chrX-0247-W"	2	2	2	2	2	2	2
"chrX-0248-C"	2	2	2	2	2	2	2
"chrX-0249-C"	2	2	2	2	2	2	2
"chrX-0250-C"	2	2	2	2	2	2	2
"chrX-0251-C"	2	2	2	2	2	2.93992	2
"chrX-0252-C"	2	2	2	2	2	2.53385	2
"chrX-0253-W"	2.74166	3.32205	3.53142	2.36652	2.7543	3.15183	2.90393
"chrX-0254-C"	2	2	2	2	2	2	2.23579
"chrX-0255-C"	2	2	2	2	2	2	2
"chrX-0256-C"	2	2	2	2	2	2	2
"chrX-0257-W"	4.00391	5.14032	6.56856	6.37091	7.6836	5.56263	8.85246
"chrX-0258-C"	2	2	2	2	2	2	3.65067
"chrX-0259-W"	2	2	2	2	2.4659	3.98523	4.55419
"chrX-0260-C"	5.24329	4.20807	9.23293	6.68979	4.53747	4.03844	2.08134
"chrX-0261-C"	2	2	2	2	2	2	2
"chrXI-0262-W"	2	2	2	2	2	2	7.65809
"chrXI-0263-W"	2	2	2	2	2	2	2
"chrXI-0264-W"	2	2	2	2	2	2	2
"chrXI-0265-W"	2	2	2	2	2	2	2
"chrXI-0266-W"	2	2	2	2	2	2	2
"chrXI-0267-W"	2	2	2	3.94119	2.75464	5.0937	6.12641
"chrXI-0268-W"	2	2	2	2	2.05059	2	2
"chrXI-0269-W"	2	6.76447	2.15492	4.94956	4.26104	8.37723	7.91542
"chrXI-0270-C"	2	2	2	2	2.60789	5.61339	2
"chrXI-0271-C"	5.95256	7.5164	12.2584	12.6373	11.7614	14.0951	21.3528
"chrXI-0272-W"	2	2	2	2	2	2	2
"chrXI-0273-C"	3.19557	3.16523	4.32417	5.27901	5.64105	5.41237	3.94853
"chrXI-0274-W"	2	2	2	2	7.4789	2	2
"chrXI-0275-W"	2	2	2	2.09644	2.17859	2.03952	4.29435
"chrXI-0276-C"	2	2	2	2	2	2	2
"chrXI-0277-W"	2	2	2	2	2	2	2
"chrXI-0278-W"	2	2	2	2	2	2	2
"chrXI-0279-W"	10.3593	10.7858	11.8141	9.58888	10.1032	11.9677	10.6417
"chrXI-0280-W"	2	2	2	2	2	2	2
"chrXI-0281-C"	8.12597	10.8044	14.4302	13.0854	12.3241	11.2327	14.0937
"chrXI-0282-W"	3.06408	2	2	2	3.09294	3.74292	2.77706
"chrXI-0283-W"	2	2	2	2	2	2	2
"chrXI-0284-C"	2	2	2	2	2	2.56836	5.23126
"chrXI-0285-C"	5.84459	5.19275	8.02512	3.55882	13.9997	13.9332	17.369
"chrXI-0286-W"	2	2	2	2	2	3.63887	4.59885
"chrXI-0287-C"	2	2	2	2	2	2	2
"chrXI-0288-W"	4.02658	2	2	7.91553	4.02566	4.6333	3.78068
"chrXI-0289-C"	2	2	2	2	2	2.71135	6.74047
"chrXI-0290-C"	2	2	2	2	2	2	2.09293
"chrXI-0291-W"	2	2	2	2.15672	2	2	2
"chrXI-0292-W"	2	2	3.195	2	2	2.32306	2
"chrXI-0293-W"	2	2	2	2	2	2	2
"chrXII-0294-W"	2	2	2	2	2	2	2
"chrXII-0295-W"	42.2714	33.3469	28.6269	21.9729	25.1504	31.2857	29.24
"chrXII-0296-W"	2	2	2	2	2	2	2
"chrXII-0297-W"	2	2	2	2	2	2	2
"chrXII-0298-W"	2	2	2	2	2	2	2
"chrXII-0299-C"	46.4304	56.4046	64.735	66.6235	51.4375	57.1144	52.348
"chrXII-0300-C"	2	2	2	2	2	2	2
"chrXII-0301-C"	2	2	2	2	2	2.54503	4.86908
"chrXII-0302-C"	2	2	2	2	2	2	2
"chrXII-0303-W"	2	2	2	2	2	2	2
"chrXII-0304-W"	66.5265	30.0195	51.6727	47.7818	39.096	49.0335	55.082
"chrXII-0305-C"	5.28529	7.7143	8.27495	7.67596	5.84186	7.17561	4.0043
"chrXII-0306-C"	2.34175	4.68741	4.75567	9.10701	5.64522	6.48879	6.04724
"chrXII-0307-C"	2	4.7175	2	2.18124	3.23441	2	2
"chrXII-0308-W"	2	2	3.75351	3.89013	2.55221	2	2.54191
"chrXII-0309-W"	2	2	2	2	2	2	2
"chrXII-0310-C"	2	7.63027	2	5.24167	5.92852	2	4.97605
"chrXII-0311-W"	2	2	2	2	2	2	2
"chrXII-0312-W"	6.84867	11.9892	9.48605	10.3778	9.07922	13.2931	11.9923
"chrXII-0313-W"	4.22765	12.3301	5.38464	5.8038	7.93228	10.5094	10.4381
"chrXII-0314-C"	9.27502	9.12624	10.1536	9.14515	7.50983	10.5172	12.7709
"chrXII-0315-W"	13.2434	17.9768	17.024	15.4694	19.0546	29.1068	36.6646
"chrXII-0316-W"	28.6894	28.6629	50.1147	25.8224	28.4165	27.3925	24.0398
"chrXII-0317-C"	2	2.67802	2.59406	2	2	2	3.87858
"chrXII-0318-C"	2	2	2	2.12267	2	4.63759	2
"chrXII-0319-C"	2	2	2	2	2	2	2
"chrXII-0320-W"	2	2	2	2	2	2.74373	3.94999
"chrXII-0321-C"	3.2565	2	2	5.20664	2.4657	4.74452	4.92397
"chrXII-0322-W"	7.29705	6.52008	10.1011	6.95582	4.16678	6.77843	9.74246
"chrXII-0323-W"	2	2	2	2	2	2	2
"chrXII-0324-W"	20.2279	33.3403	30.3648	23.3827	28.4311	32.0203	37.8934
"chrXII-0325-W"	2	2	2	2	2	2	2
"chrXII-0326-C"	2.46236	2	3.15232	2	2	2.13941	2
"chrXII-0327-W"	2	2	2	2	2	2	2
"chrXII-0328-W"	2	2	2	2	2	2	2
"chrXII-0329-C"	2	2	2	2	2	2	2
"chrXIII-0330-W"	4.95991	8.76595	8.79759	12.122	11.9793	12.7738	14.5514
"chrXIII-0331-W"	2	2	2	2	2	2	2
"chrXIII-0332-W"	2	2.88998	2.57213	4.183	4.78947	4.81246	3.11355
"chrXIII-0333-W"	2	2	2	2	2	2	2
"chrXIII-0334-W"	16.0577	18.7496	26.8695	15.612	10.0632	18.1239	19.2089
"chrXIII-0335-C"	2	2	2	2	2	2	2
"chrXIII-0336-C"	2	2	2	2	2	2	2
"chrXIII-0337-W"	2	8.42809	2.64216	2.86142	7.24755	8.50066	5.36041
"chrXIII-0338-W"	2	2	2	2	2	2	2
"chrXIII-0339-C"	2	2	2	2	2	2	3.21707
"chrXIII-0340-W"	3.96731	6.66012	8.45125	6.09367	5.61927	8.32869	9.45982
"chrXIII-0341-C"	70.8193	75.9389	105.713	64.3218	68.877	71.481	65.211
"chrXIII-0342-W"	2	2	2	2	2	2	2
"chrXIII-0343-C"	2	3.01867	5.73069	2.65873	5.91064	6.05842	3.73231
"chrXIII-0344-W"	2	2	2	2	2	2	2
"chrXIII-0345-W"	2.88504	2	7.07322	2	4.53529	2	8.90391
"chrXIII-0346-W"	2	2	2	2	2	2	2
"chrXIII-0347-C"	2	2	2	2	2	2	2
"chrXIII-0348-W"	2	2	2	2	2	2	2
"chrXIII-0349-C"	2	2	2	2	2	2	2
"chrXIII-0350-W"	2.24254	6.21197	3.77804	5.33005	6.15713	7.93676	11.8965
"chrXIII-0351-W"	2.33474	8.48731	7.73437	33.5432	29.4591	23.3027	24.4115
"chrXIII-0352-C"	2	2	2	2	2	2	2
"chrXIII-0353-W"	2	2	2	2	2	2	2
"chrXIII-0354-W"	2	2	2	2	2	2	2
"chrXIII-0355-W"	2	2	2	2	2	2	2
"chrXIII-0356-W"	2	2	2	2	2	2	2
"chrXIII-0357-W"	2	2	2	2	2	2	2
"chrXIII-0358-W"	2	2	2	2	2	2	2
"chrXIII-0359-W"	2	5.13544	4.49732	6.75766	13.0412	13.2596	14.6085
"chrXIII-0360-W"	2	2	2	2	2	2	2
"chrXIII-0361-C"	2	2	2	2	2	2	2
"chrXIII-0362-W"	2	2	2	2	2	2	2
"chrXIII-0363-C"	2	2	2	2	2	2	2
"chrXIII-0364-W"	2	2.71348	2	2	2	2	2.69593
"chrXIV-0365-W"	2	2.43756	2	2	2.54692	2	2
"chrXIV-0366-W"	2	2	2	2	2	2	2
"chrXIV-0367-W"	14.516	22.3918	39.2681	38.3653	35.8983	48.4186	42.452
"chrXIV-0368-W"	2	2	2	2	3.7362	2.55323	2
"chrXIV-0369-C"	48.3296	66.4989	75.4802	91.1397	77.08	80.1448	64.1505
"chrXIV-0370-W"	2.07424	4.24235	3.063	6.04732	3.68851	4.2563	6.82272
"chrXIV-0371-W"	2	2	2	2.68598	2	2	2
"chrXIV-0372-W"	2	2	3.96825	2.25224	7.87693	10.0514	15.9401
"chrXIV-0373-W"	7.08529	2.47636	9.29297	4.81255	4.45579	5.07751	9.68589
"chrXIV-0374-C"	2	2	2	2	2	2	2
"chrXIV-0375-C"	2	2	2	2	2	2	2
"chrXIV-0376-C"	2	2	2	2	2	2	2
"chrXIV-0377-W"	14.3132	13.1089	19.397	15.8617	17.7141	22.7322	15.1662
"chrXIV-0378-W"	2	2	2	2	2	2	2
"chrXIV-0379-W"	8.13394	10.2617	9.44656	10.661	8.32467	11.72	13.3912
"chrXIV-0380-C"	2	2	2	2	2	2	2
"chrXIV-0381-C"	2	2	2	2	2	2	2
"chrXIV-0382-W"	2	2	2	2	2	2	2
"chrXIV-0383-W"	2	2	2	2	2	2	2
"chrXIV-0384-W"	2	2	2	2	2	2	2
"chrXIV-0385-C"	2	2	2	2	2	2	2
"chrXIV-0386-W"	2	2	2	2	2	2	2
"chrXIV-0387-W"	2	2	2	2	2	2	2
"chrXV-0388-W"	2	7.23113	5.9627	4.17337	6.94705	14.5631	14.4121
"chrXV-0389-W"	2	13.5881	10.0295	9.55964	7.98331	10.763	13.8717
"chrXV-0390-W"	16.2836	69.554	43.2539	21.7009	28.4851	44.8221	37.2632
"chrXV-0391-W"	2	2	2	2.23397	2.47346	2	2
"chrXV-0392-W"	2	2	2	2	2	2	2
